"temporada","time","acronym","despesas","valor_reforcos","balanco_transferencias"
"2017","Chapecoense","CHA","0","16.70","2.00"
"2017","Corinthians","COR","4.80","6.13","16.65"
"2017","Coritiba","CFC","0","1.15","5.02"
"2017","Cruzeiro","CRU","7.24","3.20","0.64"
"2017","Flamengo","FLA","11.95","5.90","-2.66"
"2017","Fluminense","FLU","8.10","12.30","10.40"
"2017","Gremio","GRE","2.77","1.80","16.84"
"2017","Palmeiras","PAL","29.15","35.10","7.15"
"2017","PontePreta","PON","0.05","29.33","3.49"
"2017","Santos","SAN","9.40","4.65","22.10"
"2017","SaoPaulo","SAO","18.27","6.43","24.33"
"2017","Sport","SPO","2.90","5.53","-1.95"
"2017","Vasco","VAS","0","4.13","3.00"
"2017","Vitoria","VIT","0.85","7.20","5.56"
"2018","Corinthians","COR","4.01","8.00","21.45"
"2018","Santos","SAN","2.95","14.15","12.77"
"2018","Gremio","GRE","1.60","4.70","12.15"
"2018","Palmeiras","PAL","8.25","11.70","13.15"
"2018","Cruzeiro","CRU","7.80","5.13","-5.78"
"2018","Botafogo","BOT","0.92","10.35","1.58"
"2018","Flamengo","FLA","4.60","1.40","1.96"
"2018","Vasco","VAS","0","3.65","14.68"
"2018","America-MG","AMG","0","9.80","0"
"2018","Internacional","INT","0.84","11.95","8.11"
"2018","Bahia","ECB","0.25","19.60","4.08"
"2018","Ceara","CEA","0.03","7.05","-0.03"
"2018","Parana","PAR","0","34.35","0"
"2018","Atletico-MG","CAM","1.91","32.80","8.20"
"2018","Athletico-PR","CAP","0.40","20.65","5.60"
"2018","Chapecoense","CHA","1.72","8.98","1.69"
"2018","SaoPaulo","SAO","17.36","9.20","40.92"
"2018","Fluminense","FLU","2.39","42.75","25.75"
"2018","Sport","SPO","0","10.88","3.20"
"2018","Vitoria","VIT","0","2.58","4.05"
"2019","Palmeiras","PAL","23.35","46.50","9.45"
"2019","Flamengo","FLA","43.20","32.30","53.55"
"2019","Internacional","INT","2.39","3.83","0.61"
"2019","Gremio","GRE","7.43","10.05","50.13"
